v8-version,4,5,103,33,0
code-creation,Stub,11,0x1e64ff80cc40,152,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x1e64ff80cce0,152,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x1e64ff80cd80,152,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x1e64ff80ce20,152,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x1e64ff80cec0,232,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80cfc0,414,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x1e64ff80d160,442,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x1e64ff80d320,232,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80d420,442,"BinaryOpICStub(ADD:Number*Int32->Number)"
code-creation,Stub,11,0x1e64ff80d5e0,466,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x1e64ff80d7c0,442,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x1e64ff80d980,232,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80da80,414,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x1e64ff80dc20,442,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x1e64ff80dde0,232,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80dee0,232,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80dfe0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
tick,0x7f9f7906c780,9300,0,0x0,4
code-creation,Stub,11,0x1e64ff80e0c0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80e1a0,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80e280,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,2,0x1e64ff80e360,184,"DoubleToIStub"
code-creation,Stub,11,0x1e64ff80e420,332,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80e580,332,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80e6e0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80e7c0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80e8a0,332,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,11,0x1e64ff80ea00,212,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80eae0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80ebc0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80eca0,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80ed80,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80ee60,332,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80efc0,332,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80f120,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80f200,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80f2e0,212,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
tick,0xbbfd2d,10355,0,0x0,4
code-creation,Stub,11,0x1e64ff80f3c0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80f4a0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80f580,332,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,11,0x1e64ff80f6e0,212,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80f7c0,332,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80f920,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,11,0x1e64ff80fa80,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80fbe0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80fcc0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,11,0x1e64ff80fda0,212,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff80fe80,292,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,11,0x1e64ff80ffc0,418,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,11,0x1e64ff810180,442,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,11,0x1e64ff810340,292,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff810480,418,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,11,0x1e64ff810640,446,"BinaryOpICStub(DIV:Number*Int32->Number)"
tick,0x933521,11528,0,0x0,4
code-creation,Stub,11,0x1e64ff810800,470,"BinaryOpICStub(DIV:Number*Number->Number)"
code-creation,Stub,11,0x1e64ff8109e0,446,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,11,0x1e64ff810ba0,292,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff810ce0,418,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,11,0x1e64ff810ea0,442,"BinaryOpICStub(DIV:Smi*Number->Number)"
code-creation,Stub,11,0x1e64ff811060,418,"BinaryOpICStub(DIV:Smi*Smi->Number)"
code-creation,Stub,11,0x1e64ff811220,292,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff811360,447,"BinaryOpICStub(MOD:Number*Smi->Number)"
code-creation,Stub,11,0x1e64ff811520,284,"BinaryOpICStub(MOD:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff811640,256,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
